SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category
105625,Aditya Birla Sun Life Mutual Fund,Birla Fixed Term Plan - Series V - INSTITUTIONAL GROWTH,,,Close Ended Schemes,Income
105626,Aditya Birla Sun Life Mutual Fund,Birla Fixed Term Plan - Series V - INSTITUTIONAL DIVIDEND,,,Close Ended Schemes,Income
105627,UTI Mutual Fund,UTI Ultra Short to Short Term Fund - Regular Plan - Weekly IDCW,INF789F01PB4,INF789F01PC2,Open Ended Schemes,Income/Debt Oriented Schemes - Ultra Short to Short Term Fund
105628,SBI Mutual Fund,SBI ELSS Tax Saver Fund - Regular Plan - Growth,INF200K01495,,Open Ended Schemes,Equity Scheme - ELSS
105629,ICICI Prudential Mutual Fund,ICICI Prudential FMP series 38 - 1 Year Plan A - Retail Growth Option,,,Close Ended Schemes,Income
105630,ICICI Prudential Mutual Fund,ICICI Prudential FMP series 38 - 1 Year Plan A - Institutional Dividend Option,,,Close Ended Schemes,Income
105631,ICICI Prudential Mutual Fund,ICICI Prudential FMP series 38 - 1 Year Plan A - Institutional Growth Option,,,Close Ended Schemes,Income
105632,ICICI Prudential Mutual Fund,ICICI Prudential FMP series 38 - 1 Year Plan A - Retail Dividend Option,,,Close Ended Schemes,Income
105633,ABN  AMRO Mutual Fund,ABN AMRO Fixed Term Plan - Series 7 : Quarterly Plan C - Growth Option,,,Close Ended Schemes,Income
105634,ABN  AMRO Mutual Fund,ABN AMRO Fixed Term Plan - Series 7 : Quarterly Plan C - Monthly Dividend Option,,,Close Ended Schemes,Income
105635,ABN  AMRO Mutual Fund,ABN AMRO Fixed Term Plan - Series 7 : Quarterly Plan C -Dividend on Maturity,,,Close Ended Schemes,Income
105636,JM Financial Mutual Fund,JM Dynamic Debt Fund - Premium Plan - Weekly Dividend Option,,,Open Ended Schemes,Income
105637,JM Financial Mutual Fund,JM Dynamic Term Fund - Regular Plan - Weekly IDCW Option,,INF192K01676,Open Ended Schemes,Income/Debt Oriented Schemes - Dynamic Term Fund
105638,JM Financial Mutual Fund,JM Dynamic Debt Fund - Premium Plan - Daily Dividend Option,,,Open Ended Schemes,Debt Scheme - Dynamic Bond
105639,JM Financial Mutual Fund,JM Dynamic Term Fund - Regular Plan - Daily IDCW Option,,INF192K01668,Open Ended Schemes,Income/Debt Oriented Schemes - Dynamic Term Fund
105640,Tata Mutual Fund,Tata Fixed Horizon Fund Series 10 Scheme E - Institutional Plan - Growth,,,Close Ended Schemes,Income
105641,Tata Mutual Fund,Tata Fixed Horizon Fund Series 10 Scheme E - Institutional Plan - Periodic Dividend,,,Close Ended Schemes,Income
105642,Tata Mutual Fund,Tata Fixed Horizon Fund Series 10 Scheme E - Institutional Plan - Monthly Dividend,,,Close Ended Schemes,Income
105643,Tata Mutual Fund,Tata Fixed Horizon Fund Series 10 Scheme E - Regular Plan - Growth,,,Close Ended Schemes,Income
105644,Tata Mutual Fund,Tata Fixed Horizon Fund Series 10 Scheme E - Regular Plan - Periodic Dividend,,,Close Ended Schemes,Income
105645,Tata Mutual Fund,Tata Fixed Horizon Fund Series 10 Scheme E - Regular Plan - Monthly Dividend,,,Close Ended Schemes,Income
