SchemeCode,AMC,SchemeName,ISIN,SchemeType,Category,SubCategory,PlanType,PlanOption,IDCW_Frequency
115722,Sundaram Mutual Fund,Sundaram Capital Protection Oriented Fund 3 Years (Series 5) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115723,Sundaram Mutual Fund,Sundaram Capital Protection Oriented Fund 3 Years (Series 5) - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115724,BNP Paribas Mutual Fund,BNP Paribas Fixed Term Fund-Sr 22 D-Dividend-On Maturity,,Close Ended,Income,Income,Other,IDCW,
115725,BNP Paribas Mutual Fund,BNP Paribas Fixed Term Fund-Sr 22 D-Growth,,Close Ended,Income,Income,Other,Growth,
115726,BNP Paribas Mutual Fund,BNP Paribas Fixed Term Fund-Sr 22 D-Dividend-Calendar Yrly,,Close Ended,Income,Income,Other,IDCW,
115727,BNP Paribas Mutual Fund,BNP Paribas Fixed Term Fund-Sr 22 D-Dividend-Calendar Qtrly,,Close Ended,Income,Income,Other,IDCW,
115728,Goldman Sachs Mutual Fund,Goldman Sachs Nifty Exchange Traded Scheme (GS Nifty BeES),,Open Ended,Income,Income,Other,Other,
115729,Goldman Sachs Mutual Fund,Goldman Sachs Nifty Junior Exchange Traded Scheme (GS Junior BeES),,Open Ended,Income,Income,Other,Other,
115730,Goldman Sachs Mutual Fund,Goldman Sachs Liquid Exchange Traded Scheme (GS Liquid BeES),,Open Ended,Income,Income,Other,Other,
115731,Goldman Sachs Mutual Fund,Goldman Sachs Banking Index Exchange Traded Scheme (GS Bank BeES),,Open Ended,Income,Income,Other,Other,
115740,Goldman Sachs Mutual Fund,Goldman Sachs Derivative Fund - Growth Plan,,Open Ended,Income,Income,Other,Growth,
115743,Goldman Sachs Mutual Fund,Goldman Sachs Derivative Fund - Dividend Plan,,Open Ended,Income,Income,Other,IDCW,
115744,Goldman Sachs Mutual Fund,Goldman Sachs Gold Exchange Traded Scheme (GS Gold BeES),,Open Ended,Income,Income,Other,Other,
115745,Goldman Sachs Mutual Fund,Goldman Sachs Equity & Derivatives Opportunities Fund - Growth Option,,Open Ended,Income,Income,Other,Growth,
115746,Goldman Sachs Mutual Fund,Goldman Sachs Equity & Derivatives Opportunities Fund - Dividend Option,,Open Ended,Income,Income,Other,IDCW,
115747,Goldman Sachs Mutual Fund,Goldman Sachs PSU Bank Exchange Traded Scheme (GS PSU Bank BeES),,Open Ended,Income,Income,Other,Other,
115748,Goldman Sachs Mutual Fund,Goldman Sachs CNX 500 Fund - Growth Option,,Open Ended,Income,Income,Other,Growth,
115749,Goldman Sachs Mutual Fund,Goldman Sachs CNX 500 Fund - Dividend Option,,Open Ended,Income,Income,Other,IDCW,
115750,Goldman Sachs Mutual Fund,Goldman Sachs CNX Nifty Shariah Exchange Traded Scheme (GS S&P Shariah BeES),,Open Ended,Income,Income,Other,Other,
115751,Goldman Sachs Mutual Fund,Goldman Sachs Hang Seng Exchange Traded Scheme (GS Hang Seng BeES),,Open Ended,Income,Income,Other,Other,
115752,Goldman Sachs Mutual Fund,Goldman Sachs Short Term Fund - Growth Option,,Open Ended,Income,Income,Other,Growth,
115753,Goldman Sachs Mutual Fund,Goldman Sachs Short Term Fund - Dividend Reinvestment Option - Daily Frequency,,Open Ended,Income,Income,Other,IDCW,Reinvestment
115754,Goldman Sachs Mutual Fund,Goldman Sachs Short Term Fund - Dividend Reinvestment Option - Weekly Frequency,,Open Ended,Income,Income,Other,IDCW,Reinvestment
115755,Goldman Sachs Mutual Fund,Goldman Sachs Infrastructure Exchange Traded Scheme (GS Infra BeES),,Open Ended,Income,Income,Other,Other,
115756,HDFC Mutual Fund,HDFC FMP 13M September 2011 (1) Quaterly Option,,Close Ended,Income,Income,Other,Other,
115757,HDFC Mutual Fund,HDFC FMP 13M September 2011 (1) Growth Option,,Close Ended,Income,Income,Other,Growth,
115758,HDFC Mutual Fund,HDFC FMP 13M September 2011 (1) Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115759,HDFC Mutual Fund,HDFC FMP 92D September 2011 (1) Growth Option,,Close Ended,Income,Income,Other,Growth,
115760,HDFC Mutual Fund,HDFC FMP 92D September 2011 (1) Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115761,Reliance Mutual Fund,Reliance Fixed Horizon Fund - XX - Series 31 - Growth Option,,Close Ended,Income,Income,Other,Growth,
