SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category,SchemeNameCleaned,SchemeMinimumAmount,LaunchDate,ClosureDate
150519,Motilal Oswal Asset Management Company Limited,Motilal Oswal BSE Enhanced Value Index Fund-Regular plan,INF247L01BG0,,Open Ended,Other Scheme - Index Funds,Motilal Oswal BSE Enhanced Value Index Fund,Rs. 500/- and in multiples of Re. 1/- thereafter.,29-Jul-2022,05-Aug-2022
150520,Motilal Oswal Asset Management Company Limited,Motilal Oswal BSE Quality ETF,INF247L01BH8,,Open Ended,Other Scheme - Other  ETFs,Motilal Oswal BSE Quality ETF,Rs. 500/- and in multiples of Re. 1/- thereafter.,29-Jul-2022,12-Aug-2022
150521,Motilal Oswal Asset Management Company Limited,Motilal Oswal BSE Quality Index Fund-Direct plan,INF247L01BI6,,Open Ended,Other Scheme - Index Funds,Motilal Oswal BSE Quality Index Fund,Rs. 500/- and in multiples of Re. 1/- thereafter.,29-Jul-2022,05-Aug-2022
150522,Motilal Oswal Asset Management Company Limited,Motilal Oswal BSE Quality Index Fund-Regular plan,INF247L01BJ4,,Open Ended,Other Scheme - Index Funds,Motilal Oswal BSE Quality Index Fund,Rs. 500/- and in multiples of Re. 1/- thereafter.,29-Jul-2022,05-Aug-2022
150523,DSP Asset Managers Private Limited,DSP Silver ETF,INF740KA1ZQ0,,Open Ended,Exchange Traded Funds (ETFs) - Silver ETF,DSP Silver ETF,Rs. 5000 and in multiples of Re. 1/- thereof.,01-Aug-2022,12-Aug-2022
150526,ICICI Prudential Asset Management Company Limited,ICICI Prudential Nifty Infrastructure ETF,INF109KC16E5,,Open Ended,Other Scheme - Other  ETFs,ICICI Prudential Nifty Infrastructure ETF,1000,05-Aug-2022,
150531,Kotak Mahindra Asset Management Company Limited.,Kotak Nifty MNC ETF,INF174KA1JF2,,Open Ended,Other Scheme - Other  ETFs,Kotak Nifty MNC ETF,5000,01-Aug-2022,
150533,Tata Asset Management Limited,Tata Housing Opportunities Fund - Direct Plan - IDCW Reinvestment,INF277KA1505,,Open Ended,Equity Scheme - Sectoral/ Thematic,TATA HOUSING OPPORTUNITIES FUND,Rs 5000/- and in multiple of Re.1/- thereafter.,16-Aug-2022,
150534,Tata Asset Management Limited,Tata Housing Opportunities Fund - Direct Plan - IDCW Payout,INF277KA1513,,Open Ended,Equity Scheme - Sectoral/ Thematic,TATA HOUSING OPPORTUNITIES FUND,Rs 5000/- and in multiple of Re.1/- thereafter.,16-Aug-2022,
150535,Tata Asset Management Limited,Tata Housing Opportunities Fund - Regular Plan - IDCW Payout,INF277KA1547,,Open Ended,Equity Scheme - Sectoral/ Thematic,TATA HOUSING OPPORTUNITIES FUND,Rs 5000/- and in multiple of Re.1/- thereafter.,16-Aug-2022,
150536,Tata Asset Management Limited,Tata Housing Opportunities Fund - Regular Plan - IDCW Reinvestment,INF277KA1539,,Open Ended,Equity Scheme - Sectoral/ Thematic,TATA HOUSING OPPORTUNITIES FUND,Rs 5000/- and in multiple of Re.1/- thereafter.,16-Aug-2022,
150537,Tata Asset Management Limited,Tata Housing Opportunities Fund - Regular Plan - Growth,INF277KA1521,,Open Ended,Equity Scheme - Sectoral/ Thematic,TATA HOUSING OPPORTUNITIES FUND,Rs 5000/- and in multiple of Re.1/- thereafter.,16-Aug-2022,
150532,Tata Asset Management Limited,Tata Housing Opportunities Fund - Direct Plan - Growth,INF277KA1497,,Open Ended,Equity Scheme - Sectoral/ Thematic,TATA HOUSING OPPORTUNITIES FUND,Rs 5000/- and in multiple of Re.1/- thereafter.,16-Aug-2022,
150538,ICICI Prudential Asset Management Company Limited,ICICI Prudential PSU Equity Fund - Growth,INF109KC19H2,,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI PRUDENTIAL PSU EQUITY FUND,5000,23-Aug-2022,
150539,ICICI Prudential Asset Management Company Limited,ICICI Prudential PSU Equity Fund - Direct Plan - Growth,INF109KC12I5,,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI PRUDENTIAL PSU EQUITY FUND,5000,23-Aug-2022,
150540,ICICI Prudential Asset Management Company Limited,ICICI Prudential PSU Equity Fund - IDCW,INF109KC10I9,INF109KC11I7,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI PRUDENTIAL PSU EQUITY FUND,5000,23-Aug-2022,
150541,ICICI Prudential Asset Management Company Limited,ICICI Prudential PSU Equity Fund - Direct Plan - IDCW,INF109KC13I3,INF109KC14I1,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI PRUDENTIAL PSU EQUITY FUND,5000,23-Aug-2022,
150542,JM Financial Asset Management Limited,JM Short Term Fund (Regular) - Growth,INF192K01MM5,,Open Ended,Income/Debt Oriented Schemes - Short Term Fund,JM Short Term Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,10-Aug-2022,
150543,JM Financial Asset Management Limited,JM Short Term Fund (Regular) - IDCW,INF192K01MN3,INF192K01MO1,Open Ended,Income/Debt Oriented Schemes - Short Term Fund,JM Short Term Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,10-Aug-2022,
